id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5353986,Alma Milonguera Homestay Apartament,27601169,Adriano,Tijuca,-22.931729999999998,-43.24215,Private room,329,1,1,2015-08-01,0.02,1,365
5375457,Sua casa na Barra Olímpica!,27867131,Adriana E Eduardo,Camorim,-22.97889,-43.41603,Entire home/apt,264,2,49,2020-12-07,0.7,1,338
5401544,1 - FLAT WITH SUGAR LOAF VIEW 204 / 304,10796926,Frederico & Marcela,Santa Teresa,-22.91817,-43.18271,Entire home/apt,130,1,81,2020-11-30,1.39,15,297
5402875,The most beautiful view of Rio de Janeiro!,3447596,Patricia,Santa Teresa,-22.935979999999997,-43.19875,Entire home/apt,677,1,236,2020-12-16,3.9,1,0
5410001,Wonderfull Rio de Janeiro,28044627,Carlos,Copacabana,-22.97543,-43.18947,Entire home/apt,457,5,58,2020-11-04,0.84,1,158
5411959,Small cozy apartment.,27709253,Eliane,Camorim,-22.96826,-43.42832,Private room,199,1,7,2019-10-07,0.13,9,355
5428621,Big Apartment Copa & Ipanema Beach,28159533,Fernando,Ipanema,-22.98455,-43.19416,Entire home/apt,350,2,29,2020-11-23,0.55,1,321
5432806,Quarto confortável em Botafogo.,21419819,Elia,Botafogo,-22.947770000000002,-43.188320000000004,Private room,200,5,2,2020-02-26,0.17,1,0
5434466,"Beautiful House, Unique Villa",28192127,Tarso,Santa Teresa,-22.9324,-43.19576,Entire home/apt,250,7,1,2016-05-26,0.02,1,173
5439975,Apto Luxo entre Ipanema e Arpoador,28217959,Ana,Copacabana,-22.98469,-43.19019,Entire home/apt,1276,3,10,2020-02-25,0.15,1,365
5443438,Close to everything!,11896028,Rosy,Leblon,-22.98216,-43.21524,Private room,362,1,13,2019-01-03,0.19,1,0
5446095,Apartamento Barra da Tijuca.,28248201,Alessandra,Barra da Tijuca,-23.003870000000003,-43.32778,Entire home/apt,470,3,3,2020-02-26,0.2,1,267
5453728,"Perto do Centro, metrô e Maracanã",28285554,Julia,Tijuca,-22.9131,-43.216609999999996,Private room,127,2,3,2020-02-25,0.05,2,365
5455725,Gorgeous Apartment at Copacabana,13299199,André,Copacabana,-22.96395,-43.178340000000006,Entire home/apt,550,3,51,2020-11-17,0.75,4,341
5465856,Charming 1 bedroom apartment in Ipanema,11411976,Thais,Ipanema,-22.984,-43.2135,Entire home/apt,500,2,16,2019-01-04,0.26,7,9
5467331,INCRÍVEL APT NA BARRA DA TIJUCA!,3620458,Sheyla E Tania,Barra da Tijuca,-22.9986,-43.37708,Entire home/apt,375,1,44,2020-12-11,0.63,3,291
5469946,Copacabana - Amplo Conjugado - Vista Praia/ Mar,27377433,Celso,Copacabana,-22.96358,-43.17545,Entire home/apt,307,6,2,2020-02-27,0.14,7,364
5486614,Ap em Ipanema,25890232,Sandra,Ipanema,-22.98069,-43.19978,Entire home/apt,600,1,11,2020-02-25,0.18,1,360
5503931,Quiet place in the heart of Ipanema,836828,Silvia,Ipanema,-22.98126,-43.20055,Entire home/apt,394,3,143,2020-12-18,2.19,1,324
5507135,Comfortable suite in Copacabana Beach.,28563249,Saul,Copacabana,-22.96623,-43.1743,Private room,76,2,236,2020-12-19,3.34,1,28
